Assembly Only	Total	Error %	QV
100	14394	0.0002	36.5
34	59079	0.0000	47.3
30	26025	0.0000	44.3
53	15541	0.0001	39.6
37	34348	0.0000	44.6
26	4893	0.0002	37.6
65	12682	0.0002	37.8
0	50069	0.0000	inf
0	24313	0.0000	inf
29	58384	0.0000	48.0
145	208731	0.0000	46.5
0	44460	0.0000	inf
0	34877	0.0000	inf
85	12231	0.0002	36.5
0	50961	0.0000	inf
30	32236	0.0000	45.2
0	44053	0.0000	inf
0	14403	0.0000	inf
56	14377	0.0001	39.0
57	38933	0.0000	43.3
0	53492	0.0000	inf
53	8165	0.0002	36.8
0	40037	0.0000	inf
59	64374	0.0000	45.3
89	63395	0.0000	43.4
58	83148	0.0000	46.5
0	24782	0.0000	inf
0	49841	0.0000	inf
28	14384	0.0001	42.0
197	25159	0.0003	36.0
86	53552	0.0001	42.9
60	67071	0.0000	45.4
118	63353	0.0001	42.2
130	32938	0.0001	38.9
59	15000	0.0001	39.0
0	32273	0.0000	inf
19	56616	0.0000	49.7
59	71809	0.0000	45.8
0	21517	0.0000	inf
0	20400	0.0000	inf
30	34158	0.0000	45.5
7	35039	0.0000	51.9
87	163198	0.0000	47.6
60	17814	0.0001	39.6
60	52105	0.0000	44.3
0	34260	0.0000	inf
0	39709	0.0000	inf
0	26349	0.0000	inf
57	62620	0.0000	45.3
58	123572	0.0000	48.2
0	20433	0.0000	inf
111	56707	0.0001	42.0
30	25971	0.0000	44.3
126	27100	0.0002	38.2
29	23161	0.0000	43.9
59	25156	0.0001	41.2
91	103150	0.0000	45.5
30	30330	0.0000	45.0
153	118354	0.0000	43.8
7	27904	0.0000	50.9
30	14110	0.0001	41.6
53	27713	0.0001	42.1
159	26765	0.0002	37.2
78	16236	0.0002	38.1
0	53623	0.0000	inf
46	60453	0.0000	46.1
28	7385	0.0001	39.1
89	29826	0.0001	40.2
57	59630	0.0000	45.1
143	44880	0.0001	39.9
119	52264	0.0001	41.3
0	49103	0.0000	inf
59	52790	0.0000	44.4
30	27192	0.0000	44.5
27	20898	0.0000	43.8
28	26910	0.0000	44.7
78	26595	0.0001	40.2
0	5789	0.0000	inf
29	24814	0.0000	44.2
0	33830	0.0000	inf
87	49964	0.0001	42.5
45	69947	0.0000	46.8
123	36305	0.0001	39.6
0	26893	0.0000	inf
44	54303	0.0000	45.8
171	106030	0.0001	42.8
77	51164	0.0000	43.1
147	64461	0.0001	41.3
60	62555	0.0000	45.1
49	25583	0.0001	42.1
60	55739	0.0000	44.6
0	76955	0.0000	inf
74	16378	0.0001	38.4
30	65865	0.0000	48.3
76	25188	0.0001	40.1
56	56212	0.0000	44.9
30	22673	0.0000	43.7
54	20761	0.0001	40.8
130	43579	0.0001	40.2
0	29523	0.0000	inf
7	23942	0.0000	50.3
105	17009	0.0002	37.0
51	9008	0.0002	37.4
179	47113	0.0001	39.1
0	26617	0.0000	inf
30	21461	0.0000	43.5
58	25058	0.0001	41.3
0	61833	0.0000	inf
201	39674	0.0002	37.9
91	86471	0.0000	44.7
84	22291	0.0001	39.1
30	44933	0.0000	46.7
0	19448	0.0000	inf
106	115388	0.0000	45.3
93	51307	0.0001	42.3
70	26317	0.0001	40.7
113	9892	0.0004	34.3
29	22299	0.0000	43.8
29	33692	0.0000	45.6
0	31458	0.0000	inf
0	32742	0.0000	inf
0	33685	0.0000	inf
17	38140	0.0000	48.4
60	46372	0.0000	43.8
0	59395	0.0000	inf
0	29923	0.0000	inf
29	24380	0.0000	44.2
30	62065	0.0000	48.1
27	11235	0.0001	41.1
60	29643	0.0001	41.8
0	34425	0.0000	inf
103	36263	0.0001	40.4
62	59897	0.0000	44.8
49	33813	0.0000	43.3
0	19197	0.0000	inf
56	50473	0.0000	44.5
30	42607	0.0000	46.4
60	54381	0.0000	44.5
28	20823	0.0000	43.6
108	29938	0.0001	39.3
161	106004	0.0000	43.1
30	39375	0.0000	46.1
57	55708	0.0000	44.8
30	38345	0.0000	46.0
28	25135	0.0000	44.4
0	51139	0.0000	inf
62	12268	0.0002	37.9
30	25677	0.0000	44.2
0	15541	0.0000	inf
49	9501	0.0002	37.8
87	20039	0.0001	38.5
91	34804	0.0001	40.7
0	26130	0.0000	inf
29	35361	0.0000	45.8
27	42164	0.0000	46.8
0	31024	0.0000	inf
0	38092	0.0000	inf
86	27975	0.0001	40.0
0	12377	0.0000	inf
30	29946	0.0000	44.9
0	59589	0.0000	inf
30	33568	0.0000	45.4
0	33117	0.0000	inf
148	70762	0.0001	41.7
27	31650	0.0000	45.6
0	42348	0.0000	inf
0	45949	0.0000	inf
52	32376	0.0001	42.9
30	32849	0.0000	45.3
0	27845	0.0000	inf
171	34886	0.0002	38.0
108	42299	0.0001	40.8
30	126229	0.0000	51.2
30	62386	0.0000	48.1
0	44352	0.0000	inf
0	17332	0.0000	inf
90	39513	0.0001	41.3
46	35973	0.0000	43.8
30	17155	0.0001	42.5
0	38387	0.0000	inf
0	16687	0.0000	inf
50	5566	0.0003	35.4
87	52758	0.0001	42.7
30	21389	0.0000	43.4
0	39954	0.0000	inf
160	35584	0.0001	38.4
59	27500	0.0001	41.6
0	26676	0.0000	inf
80	9843	0.0003	35.8
30	18749	0.0001	42.9
0	30402	0.0000	inf
25	30226	0.0000	45.7
47	32679	0.0000	43.3
28	14698	0.0001	42.1
188	19528	0.0003	35.1
0	26615	0.0000	inf
0	29745	0.0000	inf
25	22295	0.0000	44.4
79	41506	0.0001	42.1
0	23561	0.0000	inf
21	6674	0.0001	39.9
111	33663	0.0001	39.7
51	17355	0.0001	40.2
88	62242	0.0000	43.4
0	33722	0.0000	inf
16	38487	0.0000	48.7
148	75654	0.0001	42.0
109	58900	0.0001	42.2
50	16054	0.0001	40.0
41	9309	0.0001	38.5
180	45852	0.0001	39.0
178	17710	0.0003	34.9
60	45317	0.0000	43.7
58	24514	0.0001	41.2
0	28168	0.0000	inf
10	8609	0.0000	44.3
80	10572	0.0002	36.1
30	21112	0.0000	43.4
90	66570	0.0000	43.6
0	79604	0.0000	inf
59	131387	0.0000	48.4
33	7558	0.0001	38.5
59	31267	0.0001	42.2
148	48675	0.0001	40.1
119	65345	0.0001	42.3
64	33158	0.0001	42.1
142	114706	0.0000	44.0
0	48621	0.0000	inf
51	11295	0.0001	38.4
90	57378	0.0001	43.0
104	61450	0.0001	42.6
53	52919	0.0000	44.9
0	10826	0.0000	inf
115	21884	0.0002	37.7
29	60335	0.0000	48.1
88	37904	0.0001	41.3
30	31739	0.0000	45.2
29	47057	0.0000	47.0
30	44704	0.0000	46.6
0	25533	0.0000	inf
30	26236	0.0000	44.3
0	171908	0.0000	inf
0	13033	0.0000	inf
0	44192	0.0000	inf
