Assembly Only	Total	Error %	QV
90	28601	0.0001	39.9
56	11791	0.0002	38.1
60	30221	0.0001	41.9
0	28393	0.0000	inf
99	19034	0.0002	37.7
3	38288	0.0000	56.0
29	32940	0.0000	45.5
0	29078	0.0000	inf
137	39664	0.0001	39.5
0	25188	0.0000	inf
69	12253	0.0002	37.4
54	16328	0.0001	39.7
0	23938	0.0000	inf
58	23606	0.0001	41.0
0	15385	0.0000	inf
0	20190	0.0000	inf
0	37070	0.0000	inf
77	16652	0.0001	38.3
0	46079	0.0000	inf
0	36849	0.0000	inf
28	20539	0.0000	43.6
30	40065	0.0000	46.2
59	18446	0.0001	39.9
0	38418	0.0000	inf
29	27158	0.0000	44.6
86	7118	0.0004	34.1
83	17076	0.0002	38.0
30	26689	0.0000	44.4
92	41331	0.0001	41.4
26	17743	0.0000	43.3
0	25982	0.0000	inf
58	23914	0.0001	41.1
0	27704	0.0000	inf
0	9262	0.0000	inf
48	11962	0.0001	38.9
0	48111	0.0000	inf
0	25565	0.0000	inf
69	15676	0.0001	38.5
0	29801	0.0000	inf
89	33978	0.0001	40.7
7	30483	0.0000	51.3
76	13742	0.0002	37.5
0	32265	0.0000	inf
0	34506	0.0000	inf
104	9509	0.0004	34.5
26	8429	0.0001	40.0
29	17240	0.0001	42.7
30	24301	0.0000	44.0
27	11193	0.0001	41.1
26	15045	0.0001	42.5
77	7214	0.0003	34.6
5	21731	0.0000	51.3
30	36283	0.0000	45.7
0	22060	0.0000	inf
52	18526	0.0001	40.4
29	24239	0.0000	44.1
0	26148	0.0000	inf
29	42977	0.0000	46.6
0	31926	0.0000	inf
56	25054	0.0001	41.4
80	17955	0.0001	38.4
32	20776	0.0000	43.0
53	30123	0.0001	42.5
30	37703	0.0000	45.9
0	19533	0.0000	inf
25	36168	0.0000	46.5
0	15318	0.0000	inf
92	31086	0.0001	40.2
33	35063	0.0000	45.2
0	26518	0.0000	inf
60	24042	0.0001	40.9
28	8123	0.0001	39.5
30	44553	0.0000	46.6
86	22041	0.0001	39.0
30	36033	0.0000	45.7
82	13279	0.0002	37.0
59	29662	0.0001	41.9
53	30287	0.0001	42.5
60	21444	0.0001	40.4
46	9050	0.0002	37.8
53	16343	0.0001	39.8
30	22914	0.0000	43.7
79	11604	0.0002	36.6
55	8772	0.0002	36.9
29	19137	0.0000	43.1
0	19596	0.0000	inf
25	6619	0.0001	39.1
0	7530	0.0000	inf
60	26866	0.0001	41.4
30	31260	0.0000	45.1
0	17139	0.0000	inf
0	29963	0.0000	inf
30	28203	0.0000	44.6
0	19107	0.0000	inf
0	20952	0.0000	inf
0	17212	0.0000	inf
27	19927	0.0000	43.6
84	24137	0.0001	39.5
0	31612	0.0000	inf
0	94255	0.0000	inf
